ant                                Ant Plugin                                      497.v94e7d9fffa_b_9
antisamy-markup-formatter          OWASP Markup Formatter Plugin                   162.v0e6ec0fcfcf6
apache-httpcomponents-client-4-api Apache HttpComponents Client 4.x API Plugin     4.5.14-208.v438351942757
asm-api                            ASM API Plugin                                  9.7-33.v4d23ef79fcc8
bootstrap5-api                     Bootstrap 5 API Plugin                          5.3.3-1
bouncycastle-api                   bouncycastle API Plugin                         2.30.1.77-225.v26ea_c9455fd9 (2.30.1.78.1-233.vfdcdeb_0a_08a_a_)
branch-api                         Branch API Plugin                               2.1169.va_f810c56e895
build-timeout                      Build Timeout                                   1.32
build-timestamp                    Build Timestamp Plugin                          1.0.3
caffeine-api                       Caffeine API Plugin                             3.1.8-133.v17b_1ff2e0599
checks-api                         Checks API plugin                               2.2.0
cloudbees-folder                   Folders Plugin                                  6.940.v7fa_03b_f14759 (6.942.vb_43318a_156b_2)
command-launcher                   Command Agent Launcher Plugin                   107.v773860566e2e
commons-httpclient3-api            Commons HttpClient 3.x API                      3.1-3
commons-lang3-api                  commons-lang3 v3.x Jenkins API Plugin           3.13.0-62.v7d18e55f51e2
commons-text-api                   commons-text API Plugin                         1.11.0-109.vfe16c66636eb_
config-file-provider               Config File Provider Plugin                     973.vb_a_80ecb_9a_4d0
credentials-binding                Credentials Binding Plugin                      677.vdc9d38cb_254d
credentials                        Credentials Plugin                              1337.v60b_d7b_c7b_c9f
dark-theme                         Dark Theme                                      465.vd8b_419b_0728f
display-url-api                    Display URL API                                 2.204.vf6fddd8a_8b_e9
durable-task                       Durable Task Plugin                             555.v6802fe0f0b_82
echarts-api                        ECharts API Plugin                              5.5.0-1
email-ext                          Email Extension Plugin                          1814.v404722f34263
font-awesome-api                   Font Awesome API Plugin                         6.5.2-1
git-client                         Git client plugin                               4.7.0
git                                Git plugin                                      5.2.2
github-api                         GitHub API Plugin                               1.318-461.v7a_c09c9fa_d63
github-branch-source               GitHub Branch Source Plugin                     1789.v5b_0c0cea_18c3
github                             GitHub plugin                                   1.39.0
gradle                             Gradle Plugin                                   2.12
gson-api                           Gson API Plugin                                 2.10.1-15.v0d99f670e0a_7 (2.11.0-41.v019fcf6125dc)
instance-identity                  Instance Identity                               185.v303dc7c645f9
ionicons-api                       Ionicons API                                    74.v93d5eb_813d5f
jackson2-api                       Jackson 2 API Plugin                            2.17.0-379.v02de8ec9f64c
jakarta-activation-api             Jakarta Activation API                          2.1.3-1
